 ,Area,Min,Max,Slice
319,299,255,255,1
320,249,255,255,1
321,342,255,255,1
322,321,255,255,1
323,423,255,255,1
324,406,255,255,1
325,278,255,255,1
326,180,255,255,1
327,217,255,255,1
328,479,255,255,1
329,285,255,255,1
330,232,255,255,1
331,360,255,255,1
332,320,255,255,1
333,282,255,255,1
334,400,255,255,1
335,215,255,255,1
336,491,255,255,1
337,281,255,255,1
338,315,255,255,1
339,370,255,255,1
340,386,255,255,1
341,282,255,255,1
342,390,255,255,1
343,352,255,255,1
344,398,255,255,1
345,404,255,255,1
346,228,255,255,1
347,331,255,255,1
348,202,255,255,1
349,369,255,255,1
350,271,255,255,1
351,339,255,255,1
352,292,255,255,1
353,249,255,255,1
354,376,255,255,1
355,368,255,255,1
356,325,255,255,1
357,348,255,255,1
358,259,255,255,1
359,387,255,255,1
360,213,255,255,1
361,319,255,255,1
362,500,255,255,1
363,371,255,255,1
364,355,255,255,1
365,186,255,255,1
366,384,255,255,1
367,381,255,255,1
368,211,255,255,1
369,422,255,255,1
370,484,255,255,1
371,367,255,255,1
372,356,255,255,1
373,435,255,255,1
374,226,255,255,1
375,278,255,255,1
376,258,255,255,1
377,398,255,255,1
378,371,255,255,1
379,375,255,255,1
380,357,255,255,1
381,264,255,255,1
382,160,255,255,1
383,307,255,255,1
384,466,255,255,1
385,419,255,255,1
386,348,255,255,1
387,324,255,255,1
388,361,255,255,1
389,329,255,255,1
390,261,255,255,1
391,330,255,255,1
392,310,255,255,1
393,361,255,255,1
394,254,255,255,1
395,288,255,255,1
396,240,255,255,1
397,192,255,255,1
398,328,255,255,1
399,342,255,255,1
400,234,255,255,1
401,375,255,255,1
402,363,255,255,1
403,299,255,255,1
404,330,255,255,1
405,401,255,255,1
406,349,255,255,1
407,346,255,255,1
408,320,255,255,1
409,353,255,255,1
410,485,255,255,1
411,340,255,255,1
412,165,255,255,1
413,182,255,255,1
414,241,255,255,1
415,326,255,255,1
416,204,255,255,1
417,383,255,255,1
418,317,255,255,1
419,206,255,255,1
420,297,255,255,1
421,334,255,255,1
422,268,255,255,1
423,200,255,255,1
424,446,255,255,1
425,252,255,255,1
426,402,255,255,1
427,382,255,255,1
428,375,255,255,1
429,246,255,255,1
430,410,255,255,1
431,349,255,255,1
432,322,255,255,1
433,342,255,255,1
434,395,255,255,1
435,364,255,255,1
